sample_id,P_aeruginosa,P_putida,P_fluorescens,P_stutzeri,P_syringae,P_mendocina,P_alcaligenes,P_chlororaphis,P_protegens,P_synxantha,P_koreensis,P_lundensis,P_plecoglossicida,P_fulva,P_knackmussii,P_monteilii,P_veronii,P_viridiflava,P_brassicacearum,P_trivialis,P_lini,P_rhodesiae,P_gessardii,P_putrefaciens,P_fuscovaginae,P_libanensis,P_entomophila,P_parafulva,P_resinovorans,P_resinicola,P_poe,P_simiae,P_coronafaciens,P_extremorientalis,P_marginalis,P_peli,P_brassicae,P_anguilliseptica,P_pristinamycinicus,P_citronellolis
Varanasi_Rice_Farm_20240215_rep1,400,1001,370,89,80,153,395,355,64,2,25,141,57,282,112,0,15,82,0,21,66,6,249,91,41,170,0,32,0,244,70,0,30,29,6,3,70,189,27,109
Varanasi_Rice_Farm_20240215_rep2,2893,1108,834,964,254,1691,435,1374,19,45,153,205,24,179,84,153,132,24,472,79,23,62,69,242,157,796,448,77,0,174,9,20,344,548,124,49,7,1128,50,17
Varanasi_Rice_Farm_20240215_rep3,1450,471,612,541,42,651,272,1094,284,1,6,77,78,8,7,310,41,63,36,80,51,79,160,36,89,123,214,99,5,41,67,0,27,0,93,61,363,0,93,93
Varanasi_Rice_Farm_20240315_rep1,233,9,485,26,89,27,272,105,228,641,129,127,285,342,349,237,7,66,52,1194,142,259,123,298,7,577,103,24,17,1,32,74,304,60,4,96,42,15,95,49
Varanasi_Rice_Farm_20240315_rep2,2093,803,913,123,638,1368,1336,3444,76,622,114,20,540,26,30,1808,356,18,163,169,141,447,229,190,588,1137,195,1164,593,186,104,294,1217,182,356,114,89,100,213,373
Varanasi_Rice_Farm_20240315_rep3,108,7,12,641,448,166,85,11,712,477,177,37,2,1016,1600,1583,1298,431,80,2040,246,110,1879,1167,236,353,248,204,191,636,10,279,59,97,1213,74,3,85,0,458
Varanasi_Rice_Farm_20240415_rep1,1466,530,290,565,17,805,755,147,46,55,141,66,273,47,15,531,0,30,22,744,0,48,137,348,100,28,24,582,27,147,741,96,0,276,25,23,18,71,34,347
Varanasi_Rice_Farm_20240415_rep2,789,1692,1396,1718,1,1026,1144,1795,1882,23,658,239,166,145,209,461,101,113,126,183,528,45,246,132,221,21,705,356,8,100,40,77,70,306,352,3,77,142,29,132
Varanasi_Rice_Farm_20240415_rep3,4217,623,1149,1625,137,865,592,1299,265,43,12,99,237,786,14,224,191,86,16,439,101,171,503,92,381,245,3,71,1,242,110,39,343,30,2,439,92,78,55,1636
Varanasi_Rice_Farm_20240515_rep1,191,592,896,2075,1741,607,46,22,30,1080,25,566,198,275,789,346,44,12,38,423,3,22,152,109,138,28,746,32,501,117,9,12,1100,42,113,20,52,279,801,1889
Varanasi_Rice_Farm_20240515_rep2,739,948,814,534,204,231,66,267,403,37,43,272,390,59,7,4,33,9,32,107,14,4,4,15,148,66,4,11,33,108,14,19,0,77,9,154,1,15,148,28
Varanasi_Rice_Farm_20240515_rep3,1386,15,115,808,1004,189,59,141,278,1420,116,294,1880,2301,1146,31,58,1192,10,1717,106,42,75,5,76,73,1982,318,873,48,163,105,248,26,323,25,213,4,261,12
Varanasi_Rice_Farm_20240515_rep4,17,40,198,13,184,151,103,1044,49,322,73,46,126,1084,544,11,153,50,47,991,15,279,846,59,7,115,73,105,31,14,80,142,118,49,38,28,336,2,27,46
Coimbatore_Sugarcane_Field_20240115_rep1,106,286,22,4,1751,50,69,87,111,1023,4,1068,56,1075,2292,167,11,296,208,1016,176,58,29,71,280,43,3,0,367,515,1483,962,7,14,118,0,137,89,289,49
Coimbatore_Sugarcane_Field_20240115_rep2,465,1197,199,549,1159,538,202,738,183,724,51,223,916,1209,2698,9,270,330,54,5706,746,121,205,308,195,66,487,354,9,98,37,152,184,172,274,8,328,905,782,8
Coimbatore_Sugarcane_Field_20240115_rep3,50,36,54,15,379,7,127,230,2,149,18,37,0,400,64,210,154,50,11,312,27,1,2,10,34,105,23,136,0,14,193,44,502,8,12,76,49,222,19,6
Coimbatore_Sugarcane_Field_20240115_rep4,783,22,1096,417,2893,423,29,280,627,836,10,1108,534,1099,2661,185,408,98,226,1474,1279,6,399,95,127,21,242,126,194,3,125,679,471,1197,148,781,398,120,152,841
Coimbatore_Sugarcane_Field_20240115_rep5,1948,0,972,436,2700,38,1176,7,275,1611,142,9,87,648,4149,186,899,424,575,1056,474,49,286,12,1108,711,157,302,124,412,4,165,58,1077,568,148,559,205,128,585
Coimbatore_Sugarcane_Field_20240215_rep1,17,26,114,3,274,12,159,3,35,257,68,24,256,112,256,65,36,75,7,400,4,8,316,18,1,51,330,76,38,31,92,32,7,594,8,90,47,45,29,9
Coimbatore_Sugarcane_Field_20240215_rep2,19,26,96,49,725,433,1,163,457,923,42,151,458,674,847,271,255,528,1045,420,32,123,970,105,44,21,31,122,24,1062,104,130,380,240,1095,379,36,97,71,14
Coimbatore_Sugarcane_Field_20240215_rep3,296,95,133,232,1116,600,655,104,52,673,0,51,41,857,255,15,400,329,194,850,0,308,60,202,548,340,583,122,311,3,865,164,5,289,61,3,39,862,91,60
Coimbatore_Sugarcane_Field_20240215_rep4,11,188,26,74,349,25,379,50,86,196,126,161,140,1700,825,63,292,90,12,614,22,19,381,156,350,13,65,419,95,47,58,40,278,33,72,52,240,91,85,52
Coimbatore_Sugarcane_Field_20240215_rep5,132,137,106,664,976,34,158,34,5,579,133,42,48,312,865,18,85,170,0,221,0,41,309,166,216,2,573,5,206,70,145,105,32,105,288,58,0,226,15,133
Coimbatore_Sugarcane_Field_20240215_rep6,167,133,3,191,2425,106,93,617,22,2360,88,68,285,1488,3134,153,509,43,1794,726,6,31,667,296,249,127,634,51,1400,294,26,256,189,373,286,776,27,172,472,362
Coimbatore_Sugarcane_Field_20240315_rep1,28,1755,598,136,1898,4,197,65,25,851,168,124,248,775,213,223,27,232,175,454,740,146,76,14,14,366,370,142,1542,1186,194,55,95,1,214,23,50,0,20,800
Coimbatore_Sugarcane_Field_20240315_rep2,22,532,321,58,479,163,104,87,4,383,399,144,135,1061,500,6,4,63,160,1100,11,136,61,484,71,42,26,340,160,33,323,71,328,68,44,181,74,78,46,309
Coimbatore_Sugarcane_Field_20240315_rep3,265,86,117,82,444,158,337,38,75,745,226,8,52,604,527,1,288,99,133,467,70,12,181,37,3,20,16,131,80,49,144,9,180,6,121,110,171,16,1,9
Coimbatore_Sugarcane_Field_20240315_rep4,2,134,8,6,484,298,0,39,110,535,4,34,89,242,754,158,25,0,28,302,529,391,156,91,120,186,8,55,247,88,0,234,91,10,13,109,95,343,30,45
Coimbatore_Sugarcane_Field_20240315_rep5,84,78,150,9,104,60,64,563,6,272,154,104,272,180,683,568,351,120,180,366,561,183,196,189,338,0,0,109,9,489,81,69,8,42,213,59,158,144,51,81
Coimbatore_Sugarcane_Field_20240315_rep6,64,239,387,1,816,4,99,28,493,479,47,498,196,1303,465,167,63,54,13,472,30,37,12,10,77,110,2,22,25,76,38,34,3,583,5,167,237,10,74,96
Coimbatore_Sugarcane_Field_20240415_rep1,477,495,4,2,766,107,76,107,776,816,1325,53,0,235,1388,15,46,29,29,210,14,6,65,174,196,95,477,633,556,31,50,60,307,6,94,1,334,64,280,34
Coimbatore_Sugarcane_Field_20240415_rep2,153,608,293,100,180,158,9,518,351,1011,196,295,6,150,1926,1069,725,17,4,2761,1,67,16,1603,42,104,200,501,60,195,53,2,371,716,44,418,2840,399,482,131
Coimbatore_Sugarcane_Field_20240415_rep3,22,368,85,138,331,29,93,34,19,632,277,1160,25,1727,907,336,147,1,0,429,35,329,1,119,28,28,23,1282,585,156,293,18,349,134,64,66,255,141,7,38
Coimbatore_Sugarcane_Field_20240415_rep4,80,111,223,23,754,142,266,0,10,727,39,0,0,212,1411,54,308,102,5,370,61,323,0,34,33,52,69,35,9,160,124,108,70,60,149,172,3,52,62,622
Coimbatore_Sugarcane_Field_20240515_rep1,5,228,309,0,789,111,34,23,681,2219,52,1890,369,196,142,353,17,12,7,1133,44,363,590,685,309,47,0,300,147,106,506,171,94,45,3,103,36,609,289,93
Coimbatore_Sugarcane_Field_20240515_rep2,1247,46,82,491,2783,680,329,343,187,968,31,414,416,264,2484,257,59,759,376,1979,123,191,9,144,78,692,9,88,83,129,3,1489,670,148,839,1084,0,256,76,203
Coimbatore_Sugarcane_Field_20240515_rep3,329,27,76,0,1186,1110,66,36,34,1053,242,15,154,1334,580,1397,204,575,85,2153,339,957,232,1,335,102,561,346,617,1184,8,756,485,116,278,55,325,17,826,193
Coimbatore_Sugarcane_Field_20240515_rep4,60,190,1289,519,940,364,77,1254,355,219,159,101,30,947,1679,96,101,720,168,586,33,411,196,47,330,41,4,34,7,25,458,109,81,180,133,8,51,359,1,46
Nagpur_Cotton_Field_20240115_rep1,469,1149,45,491,1887,1476,213,19,77,1703,375,977,1027,2210,1899,240,307,75,536,2965,327,534,337,79,73,1638,14,294,453,90,14,4,118,25,57,98,293,413,139,158
Nagpur_Cotton_Field_20240115_rep2,4023,2222,2706,1533,218,1537,277,902,135,866,46,0,8,6,2,394,12,318,7,1011,20,167,177,32,524,946,280,128,67,476,322,14,43,113,639,206,24,207,141,531
Nagpur_Cotton_Field_20240115_rep3,2000,1063,917,2062,121,508,1913,1059,777,7,37,522,77,323,577,0,50,1191,69,4,1422,201,64,340,85,707,1,153,177,90,56,87,2237,1189,112,763,116,282,105,1004
Nagpur_Cotton_Field_20240115_rep4,786,171,565,827,123,535,125,355,15,25,39,39,9,139,95,174,9,82,13,119,53,41,27,73,60,6,18,27,52,18,54,47,81,43,42,349,142,57,38,175
Nagpur_Cotton_Field_20240115_rep5,2320,1587,1962,4117,188,2109,729,413,106,10,5,107,38,669,509,4,35,276,203,2,517,61,1000,229,98,723,64,475,425,372,21,838,790,84,1534,132,76,12,304,176
Nagpur_Cotton_Field_20240215_rep1,443,1804,968,382,267,873,1385,559,409,501,729,318,29,0,572,1,295,835,896,4,439,89,229,942,344,534,2,64,35,215,4,276,20,402,240,75,7,45,211,129
Nagpur_Cotton_Field_20240215_rep2,889,2638,2602,1663,315,1069,1815,705,305,12,216,354,78,11,106,670,158,558,123,447,312,979,24,406,20,21,0,619,304,2,25,830,177,223,30,713,659,296,264,15
Nagpur_Cotton_Field_20240215_rep3,489,823,847,388,0,1041,704,263,98,73,19,231,9,262,83,14,183,252,27,13,120,220,1,148,140,36,336,41,15,4,21,85,240,540,7,0,12,103,0,8
Nagpur_Cotton_Field_20240315_rep1,214,33,6,290,364,6,5,771,212,1058,33,72,195,527,343,96,521,25,169,431,38,48,199,0,34,59,420,112,42,117,103,20,169,145,26,16,104,230,6,11
Nagpur_Cotton_Field_20240315_rep2,2,153,1229,60,1349,834,128,291,651,575,499,18,132,495,646,408,37,20,194,351,293,31,539,322,26,460,3,260,399,430,24,80,262,33,64,24,412,115,99,6
Nagpur_Cotton_Field_20240315_rep3,694,707,487,218,21,152,222,581,69,3,118,97,74,6,240,7,30,10,0,120,45,75,14,111,3,1,1,106,125,8,84,8,242,5,22,83,116,61,151,5
Nagpur_Cotton_Field_20240315_rep4,653,506,1118,314,4,147,355,78,84,129,10,255,50,59,29,10,80,13,6,88,79,69,109,38,16,576,63,8,49,174,5,21,63,379,140,238,152,195,5,3
Nagpur_Cotton_Field_20240315_rep5,397,513,801,1314,18,351,343,784,26,8,6,45,391,1,42,153,531,0,813,5,84,162,618,267,51,88,597,1,13,34,0,57,93,46,578,42,8,452,0,226
Nagpur_Cotton_Field_20240415_rep1,115,20,795,451,1131,0,52,346,365,3441,208,1278,789,474,1207,3,61,1299,2286,1284,390,154,0,363,279,547,40,605,57,1,153,1238,224,991,257,215,26,4,1191,612
Nagpur_Cotton_Field_20240415_rep2,2123,689,2060,3973,3,1027,1063,1493,9,104,161,744,20,54,218,152,969,263,187,243,45,31,1332,194,7,85,820,318,84,193,357,514,403,60,347,204,497,83,253,342
Nagpur_Cotton_Field_20240415_rep3,2504,3199,1714,1951,327,1168,1740,949,32,630,712,57,4,110,45,36,482,48,783,291,160,9,175,35,398,69,174,115,114,627,0,153,460,118,266,10,409,1,41,122
Nagpur_Cotton_Field_20240415_rep4,838,411,64,366,242,2061,540,510,648,365,73,0,26,17,13,11,73,14,105,525,25,5,6,7,273,164,137,53,7,90,208,12,3,74,226,5,25,166,74,20
Nagpur_Cotton_Field_20240415_rep5,1442,1084,453,1127,422,509,297,242,510,33,75,34,423,4,49,805,68,4,600,0,157,352,652,173,5,7,299,373,50,1,15,8,507,252,210,71,2,9,1,138
Nagpur_Cotton_Field_20240415_rep6,1855,1344,1124,1185,4,1165,554,765,243,70,12,122,14,47,351,0,63,342,1,6,162,29,99,0,69,10,9,66,458,13,19,32,277,35,120,124,908,31,108,291
Nagpur_Cotton_Field_20240515_rep1,779,9,504,112,284,36,9,106,7,251,25,164,40,1151,480,1,3,666,9,203,591,86,611,253,267,155,45,346,8,658,40,659,6,246,127,655,127,53,416,467
Nagpur_Cotton_Field_20240515_rep2,1184,1654,549,1273,108,2168,1047,1630,1210,147,450,506,315,156,586,278,0,208,20,647,267,607,258,146,2,7,503,2,252,116,520,23,247,262,27,173,9,462,2,8
Nagpur_Cotton_Field_20240515_rep3,1128,4268,683,1100,220,1650,433,339,752,70,253,20,824,232,168,149,84,534,170,29,274,77,370,277,25,9,31,222,84,13,196,649,205,8,21,52,0,94,17,175
Nagpur_Cotton_Field_20240515_rep4,988,321,1605,1000,57,311,391,145,157,6,82,43,325,68,375,10,3,245,280,168,4,46,3,17,62,42,57,143,65,0,353,44,252,51,203,42,280,271,38,140
Nagpur_Cotton_Field_20240515_rep5,1627,1691,429,2135,1019,624,698,887,127,63,158,56,50,44,10,52,50,41,68,238,40,2,26,144,782,911,753,238,34,1110,272,828,193,96,89,452,32,77,208,118
Jaipur_Mustard_Farm_20240115_rep1,9,106,76,1257,1772,172,52,16,287,2731,12,1631,973,677,1267,215,204,158,48,2819,100,154,46,483,195,409,162,1631,16,393,5,306,120,191,162,2237,76,183,126,118
Jaipur_Mustard_Farm_20240115_rep2,2436,1776,3881,1592,389,1795,903,613,134,10,133,358,1287,66,5,131,110,3288,29,109,109,274,257,87,3,155,458,53,262,102,422,1437,122,1,111,24,35,384,10,30
Jaipur_Mustard_Farm_20240115_rep3,76,36,134,116,339,82,489,739,336,1061,424,3,11,1360,1031,27,332,508,6,991,162,74,3,1266,85,244,398,127,53,734,1,103,1,91,153,423,150,6,30,56
Jaipur_Mustard_Farm_20240115_rep4,93,201,1034,214,4462,68,31,1204,384,2944,279,79,1,1034,1031,667,180,321,180,631,185,127,322,114,88,48,19,166,30,303,684,372,262,20,0,447,1582,182,699,393
Jaipur_Mustard_Farm_20240115_rep5,387,498,126,88,1539,370,18,723,611,1774,42,1147,100,1319,4998,1,212,208,57,846,14,1606,154,10,2,1226,177,768,142,112,1103,106,90,207,17,121,297,471,246,28
Jaipur_Mustard_Farm_20240115_rep6,271,1969,250,471,1045,40,7,91,218,1330,3659,179,11,1385,2985,56,155,911,503,2724,808,294,34,522,193,510,498,0,18,381,30,8,227,893,26,10,11,49,751,848
Jaipur_Mustard_Farm_20240215_rep1,1,468,27,53,468,1,475,107,42,466,111,129,19,913,148,5,130,89,175,710,14,48,25,608,926,46,31,191,441,348,160,12,34,56,207,52,236,144,144,51
Jaipur_Mustard_Farm_20240215_rep2,1,152,131,50,583,131,98,183,0,262,152,71,82,1393,805,476,20,94,39,1169,56,132,48,30,215,164,133,128,218,37,159,184,68,29,166,747,412,57,266,231
Jaipur_Mustard_Farm_20240215_rep3,0,75,40,3,253,238,6,17,64,311,26,4,139,169,485,49,14,2,3,174,88,16,2,38,49,58,29,26,25,1,10,189,100,135,37,56,10,37,1,24
Jaipur_Mustard_Farm_20240215_rep4,1461,67,60,75,2555,578,5,183,2,1727,733,165,670,2031,1214,43,706,579,568,1077,248,1051,166,41,52,222,950,414,99,1072,86,141,246,253,1546,3,388,30,962,379
Jaipur_Mustard_Farm_20240315_rep1,452,243,231,205,356,21,198,115,8,748,4,5,781,1081,1995,134,150,22,13,1334,121,91,111,16,126,11,258,217,221,703,158,668,247,143,210,39,288,240,13,508
Jaipur_Mustard_Farm_20240315_rep2,138,329,69,179,221,68,776,204,748,1005,396,144,8,463,1317,493,168,3,300,1402,195,738,54,35,153,396,161,42,419,33,42,1055,283,299,1225,193,249,31,18,85
Jaipur_Mustard_Farm_20240315_rep3,144,85,0,5,438,50,4,26,15,550,24,108,4,269,644,81,157,2,57,290,23,433,101,3,12,38,41,10,14,7,153,19,23,72,0,22,23,355,39,53
Jaipur_Mustard_Farm_20240315_rep4,44,123,5,30,1478,59,492,31,149,709,158,322,137,887,2117,611,245,541,663,2609,71,606,2334,507,227,137,493,0,195,290,49,102,247,17,539,21,1300,30,122,111
Jaipur_Mustard_Farm_20240315_rep5,1,439,335,8,1103,524,268,840,467,1382,1725,61,170,1445,1368,704,28,27,65,1104,347,529,1,772,56,711,1449,47,455,427,34,306,199,7,48,30,5,1,677,475
Jaipur_Mustard_Farm_20240315_rep6,126,115,72,61,76,151,7,191,81,331,31,101,11,345,959,193,274,294,13,865,33,0,13,4,21,421,48,56,40,834,22,712,18,36,382,4,110,66,343,259
Jaipur_Mustard_Farm_20240415_rep1,37,659,1333,340,1640,105,461,249,739,839,855,123,206,3696,2667,60,99,482,0,225,181,731,2,6,182,218,124,421,452,155,406,79,3,449,480,387,293,168,839,79
Jaipur_Mustard_Farm_20240415_rep2,18,3,55,157,2350,2545,326,38,500,2053,152,118,1034,1716,1235,533,6,521,358,1872,37,141,0,630,505,667,163,273,99,10,1435,126,101,11,59,13,579,1405,411,54
Jaipur_Mustard_Farm_20240415_rep3,39,23,100,235,1198,206,68,246,520,376,182,165,62,583,860,116,403,537,48,515,397,50,56,90,390,11,324,67,11,66,296,74,300,73,311,976,2,386,25,208
Jaipur_Mustard_Farm_20240515_rep1,22,490,35,194,1158,12,35,70,154,991,250,257,8,152,741,3,140,55,212,332,147,62,68,49,49,314,103,285,264,0,50,23,266,31,450,83,31,136,12,23
Jaipur_Mustard_Farm_20240515_rep2,161,661,56,9,1419,52,481,258,464,959,15,260,1973,1528,1054,34,1827,336,25,1165,11,7,16,91,419,192,129,93,464,711,382,103,604,139,378,611,386,0,1188,576
Jaipur_Mustard_Farm_20240515_rep3,115,51,0,86,394,9,837,58,158,909,76,173,32,867,236,19,4,234,25,172,200,156,650,1,796,30,8,246,39,114,127,105,49,208,22,25,5,91,49,62
Jaipur_Mustard_Farm_20240515_rep4,38,60,20,9,912,0,304,374,129,947,6,8,36,64,1295,118,22,221,5,1090,0,97,168,71,151,2,28,713,370,1146,999,0,24,96,27,1,137,0,158,40
Jaipur_Mustard_Farm_20240515_rep5,347,192,28,855,1031,12,50,16,258,1569,18,461,474,767,1211,93,9,171,57,1397,28,383,162,295,26,167,1,107,1400,96,2,266,152,707,219,26,448,54,162,19
Jaipur_Mustard_Farm_20240515_rep6,16,280,402,198,1730,179,325,612,331,2068,10,129,830,965,1877,870,460,105,5,1162,94,434,579,83,1140,862,152,139,1081,14,626,108,470,276,583,26,205,176,228,85
Assam_Tea_Plantation_20240115_rep1,501,67,250,394,1567,52,1116,141,546,461,239,48,220,2334,788,261,32,45,133,941,1047,1504,419,513,24,91,102,8,169,836,611,112,495,528,3,806,284,518,17,103
Assam_Tea_Plantation_20240115_rep2,1737,1558,2810,3334,6,2289,2979,1161,1,75,310,484,331,389,263,191,629,196,442,537,157,130,42,205,653,76,93,236,69,261,30,9,8,142,10,333,103,111,119,97
Assam_Tea_Plantation_20240115_rep3,6,61,0,1906,2087,504,217,326,10,418,30,1744,475,1151,1890,271,419,12,70,1549,96,20,5,160,412,619,14,849,40,1287,110,511,272,79,559,511,58,748,35,284
Assam_Tea_Plantation_20240115_rep4,1,23,14,863,2229,60,522,7,81,1564,664,158,24,1033,4915,664,187,444,322,1622,791,29,730,477,59,12,226,525,587,394,182,108,395,1201,392,1706,237,257,101,13
Assam_Tea_Plantation_20240115_rep5,87,16,70,9,230,60,23,103,390,240,13,18,313,735,686,492,8,121,2,609,456,14,288,15,66,109,118,104,99,23,121,323,121,69,35,198,183,5,274,112
Assam_Tea_Plantation_20240215_rep1,115,367,303,38,1235,535,34,0,8,184,137,47,209,946,572,45,217,75,31,317,112,611,539,75,122,35,11,6,32,23,6,88,388,145,144,11,47,97,25,59
Assam_Tea_Plantation_20240215_rep2,155,120,3,71,977,116,14,1,280,424,13,104,743,1060,614,738,22,33,16,1067,702,138,41,390,37,364,2,663,246,88,290,40,124,427,580,86,5,42,124,393
Assam_Tea_Plantation_20240215_rep3,187,1244,27,98,854,63,128,176,575,598,349,39,487,758,490,90,1053,2,385,1148,123,37,5,173,280,943,235,112,0,159,791,129,110,0,21,129,112,596,189,192
Assam_Tea_Plantation_20240215_rep4,255,52,707,0,1360,203,0,6,457,270,193,30,19,1057,2768,1003,41,14,144,1706,211,1180,34,45,11,40,746,9,489,221,210,309,442,75,329,382,17,3,193,457
Assam_Tea_Plantation_20240315_rep1,4,22,162,188,535,247,0,112,56,339,508,601,484,687,3042,24,216,0,8,600,206,99,300,308,41,193,4,359,235,107,672,1294,17,1,113,21,4,52,56,64
Assam_Tea_Plantation_20240315_rep2,625,327,428,413,9,187,99,402,22,14,79,4,117,53,94,25,68,79,38,19,41,56,87,68,13,0,6,16,96,9,191,0,37,13,87,43,8,7,0,35
Assam_Tea_Plantation_20240315_rep3,80,841,31,4,870,215,1133,1204,17,2029,607,424,317,777,1576,5,2484,224,73,1558,9,1263,560,470,570,562,72,39,900,1287,439,3,47,334,43,23,4,55,368,6
Assam_Tea_Plantation_20240315_rep4,5,232,0,3,649,17,398,499,222,1045,1,379,900,538,546,153,28,6,0,611,9,13,2,640,17,66,165,43,9,247,150,11,28,142,569,33,10,89,37,2
Assam_Tea_Plantation_20240415_rep1,244,0,52,2508,850,105,68,9,436,1715,1,201,126,1239,588,0,8,0,168,775,338,2,44,171,29,50,1201,81,83,409,33,435,212,1,31,573,222,9,161,751
Assam_Tea_Plantation_20240415_rep2,1132,31,354,117,586,559,145,1148,56,1783,44,24,119,1331,1430,101,363,102,98,939,300,505,480,166,297,283,241,2322,98,588,429,165,199,550,4,348,1440,170,106,349
